NumEstacao,NomeEntidade,EnderecoEstacao,SiglaUf,CodMunicipio,NomeMunicipio,Latitude,Longitude,2G,3G,4G,5G
1003867828,VIVO,RUA RINALDO FABRINO COM RUA MOZART NOGUEIRAS/NSÃO JOSE,MG,3122306,Divinópolis,20S1050,44W5524,,,SIM,
1005139218,VIVO,RUA RIO DE JANEIRO 434CENTRO,MG,3122306,Divinópolis,20S0831,44W5321,,,SIM,
1005608480,CLARO,R BENEDITO GONÇALVES 2793,MG,3122306,Divinópolis,20S0744,44W5036,,SIM,SIM,
1005893230,VIVO,Rua João Martins Coelho próximo ao nº 655 - Ermida CENTRO,MG,3122306,Divinópolis,20S0625,44W5759,,,SIM,
1005940310,CLARO,R GOIAS 238,MG,3122306,Divinópolis,20S0855,44W5257,,SIM,SIM,
1006007137,CLARO,R VINICIUS DE MORAIS 143,MG,3122306,Divinópolis,20S1018,44W5505,,SIM,SIM,
1007500465,CLARO,R ANTONIO CESÁRIO AZEVEDO 290,MG,3122306,Divinópolis,20S0719,44W5316,,SIM,SIM,
1007736264,VIVO,RUA PEDRA BONITA S/N,MG,3122306,Divinópolis,20S0629,44W5502,,SIM,SIM,
1008155842,VIVO,RUA RODRIGO DE SOUZA SILVEIRA S/N,MG,3122306,Divinópolis,20S0956,44W5021,,SIM,SIM,
1008666626,TIM,Avenida 21 De Abril 489 ESQUINA COM A RUA GOIÁS.,MG,3122306,Divinópolis,20S0843,44W5328,,,SIM,SIM
1009033759,TIM,Rua Angico S/N Ao Lado Do Nº 721,MG,3122306,Divinópolis,20S1140,44W5625,,,SIM,
1009294544,TIM,Rua 2 S/N Lote 259 Quadra 20 Zona 37 Sub-Lote 000,MG,3122306,Divinópolis,20S0648,44W5119,,,SIM,
1009443841,TIM,Avenida 14 Com Rua A S/N Esquina Com Rua A,MG,3122306,Divinópolis,20S0744,44W5342,,,SIM,SIM
1009666360,TIM,RUA GOIÁS 238,MG,3122306,Divinópolis,20S0857,44W5256,,,SIM,SIM
1009860205,TIM,Rua Antônio Cezário 618,MG,3122306,Divinópolis,20S0713,44W5309,,,SIM,SIM
1009950310,TIM,RUA INTERLAGOS 1636 FINAL DA RUA INTERLAGOS,MG,3122306,Divinópolis,20S0751,44W5148,,,SIM,SIM
1009950344,TIM,RUA MANOEL VALINHOS S/N QUADRA 252 LOTE 31,MG,3122306,Divinópolis,20S0933,44W5147,,,SIM,SIM
1009970850,TIM,RUA CASTRO ALVES 2010,MG,3122306,Divinópolis,20S0953,44W5421,,,SIM,SIM
1010339211,TIM,ALAMEDA RIO ARAGUAIA S/N,MG,3122306,Divinópolis,20S0840,44W5453,,,SIM,SIM
1010339220,TIM,RUA EPAMINONDAS DE ASSIS s/n 0,MG,3122306,Divinópolis,20S1042,44W5428,,,SIM,
1010398803,TIM,RODOVIA MARGEM RODOVIA DIVINOPOLIS/PITANGUI S/Nº FAZENDA CARAIBAS 0,MG,3122306,Divinópolis,20S0615,44W5403,,,SIM,
1010504751,TIM,RUA GOIAS 608 - -,MG,3122306,Divinópolis,20S0841,44W5326,,,SIM,
1011003624,VIVO,RUA ITAPECERICA 864,MG,3122306,Divinópolis,20S0818,44W5330,,SIM,SIM,SIM
1011137264,TIM,Avenida 21 De Abril 1154 Cond. Ed. Marino Sbanpato,MG,3122306,Divinópolis,20S0823,44W5319,,,SIM,SIM
1011337921,TIM,RUA JOãO MORATO DE FARIA 172,MG,3122306,Divinópolis,20S0851,44W5326,,,SIM,SIM
1011709020,VIVO,AVENIDA PRIMEIRO DE JUNHO 1166,MG,3122306,Divinópolis,20S0820,44W5307,,,SIM,SIM
1012042844,VIVO,RUA BOSTON S/N RBR-NÃO,MG,3122306,Divinópolis,20S0954,44W5101,,,SIM,
1012363217,VIVO,AVENIDA PRIMEIRO DE JUNHO 1166 RBR-NÃO,MG,3122306,Divinópolis,20S0820,44W5307,,,SIM,
1013185746,TIM,Rua Antonio Leopoldo 360 -,MG,3122306,Divinópolis,20S0802,44W5041,,,SIM,
1014059507,CLARO,R RIO DE JANEIRO 434,MG,3122306,Divinópolis,20S0832,44W5321,SIM,SIM,SIM,
